Akademmistechko,Zhytomyrska,Sviatoshyn,Nyvky,Beresteiska,Shuliavska,Politekhnichnyi_Instytut,Vokzalna,Universytet,Teatralna,Jreshchatyk,Arsenalna,Dnipro,Hidropark,Livoberezhna,Darnytsia,Chernihivska,Lisova,Heroiv_Dnipra,Minska,Obolon,Pochaina,Tarasa_Sevchenka,Kontraktova_Polscha,Poschtova_Polscha,Maidan_Nezalezhnosti,Ploshcha_Lva_Tolstoho,Olimpiiska,Palats_Ukrania,Lybidska,Demiivska,Holosiivska,Vasylkiivska,Vystavkovyi_Tsentr,Ipodrom,Teremki,Syrets,Dorogozhychi,Lukianivska,Zoloti_Vorota,Palats_Sportu,Klovska,Pecherska,Druzhby_Narodiv,Vydubychi,Slavutych,Osokorky,Pozniaky,Jarkivska,Vyrlytsia,Boryspilska,Chervony_Jutir
Vasylkiivska,12.35,11.18,9.97,9.38,8.84,7.33,6.65,5.34,5.68,6.1,6.56,6.94,7.33,8.59,10.15,11.25,12.49,13.68,14.41,13.24,12.06,10.34,9.04,8.3,7.77,6.56,5.62,4.69,3.89,3.47,2.41,1.49,0,1.43,2.32,3.78,10.07,9.33,7.55,6.1,5.62,5.75,5.24,4.95,5.21,8.27,9.08,10.4,11.65,12.71,13.95,14.85
Vystavkovyi_Tsentr,12.64,11.41,10.41,9.94,9.51,8.24,7.7,6.61,7.03,7.49,7.97,8.35,8.73,9.97,11.52,12.6,13.83,15.01,15.67,14.51,13.33,11.62,10.35,9.66,9.17,7.97,7.03,6.11,5.31,4.85,3.73,2.73,1.43,0,0.90039,2.38,10.96,10.31,8.76,7.49,7.03,7.18,6.64,6.26,6.26,9.12,9.93,11.27,12.54,13.62,14.84,15.79
Ipodrom,12.71,11.47,10.61,10.21,9.87,8.76,8.3,7.36,7.84,8.33,8.82,9.25,9.63,10.87,12.41,13.5,14.72,15.9,16.39,15.24,14.05,12.35,11.12,10.46,10,8.82,7.89,6.97,6.2,5.76,4.63,3.63,2.32,0.90039,0,1.48,11.43,10.86,9.46,8.33,7.89,8.06,7.53,7.15,7.08,9.84,10.65,12,13.26,14.35,15.57,16.53
Teremki,12.96,11.73,11.06,10.77,10.56,9.7,9.37,8.64,9.2,9.72,10.24,10.72,11.11,12.35,13.89,14.98,16.19,17.37,17.59,16.44,15.27,13.59,12.4,11.8,11.39,10.24,9.31,8.41,7.66,7.24,6.11,5.11,3.78,2.38,1.48,0,12.29,11.82,10.66,9.72,9.31,9.52,9.02,8.63,8.47,11.11,11.91,13.25,14.52,15.6,16.81,17.8
Syrets,5.65,5.14,3.64,2.84,2.17,2.75,3.62,5.64,6.3,6.81,7.2,8.92,9.79,10.76,12.03,12.96,14.1,15.12,6.93,6.1,5.39,4.72,5.04,5.95,6.77,7.2,7.39,7.81,8.76,9.55,9.97,10.32,10.07,10.96,11.43,12.29,0,1.21,4,6.81,7.39,8.29,9.34,10.48,12.3,15.26,15.84,16.78,17.69,18.5,19.6,20.1
Dorogozhychi,6.72,6.23,4.5,3.57,2.66,2.13,2.7,4.58,5.17,5.63,6,7.72,8.59,9.54,10.82,11.76,12.91,13.94,6.52,5.55,4.68,3.72,3.87,4.74,5.56,6,6.23,6.7,7.69,8.51,9.01,9.43,9.33,10.31,10.86,11.82,1.21,0,2.8,5.63,6.23,7.12,8.2,9.37,11.21,14.11,14.69,15.6,16.5,17.3,18.39,18.89
Lukianivska,9.13,8.36,6.6,5.62,4.6,2.6,1.77,2.24,2.48,2.85,3.21,4.93,5.8,6.81,8.17,9.17,10.38,11.47,6.93,5.78,4.61,2.95,2.02,2.29,2.89,3.21,3.48,4.07,5.14,6,6.69,7.3,7.55,8.76,9.46,10.66,4,2.8,0,2.85,3.48,4.34,5.46,6.67,8.56,11.36,11.92,12.81,13.7,14.51,15.6,16.11
Zoloti_Vorota,11.58,10.7,8.94,7.99,7.02,4.83,3.67,1.86,0.7864,0,0.663,2.27,3.15,4.36,5.91,7.02,8.3,9.47,8.68,7.54,6.36,4.69,3.29,2.28,1.67,0.663,0.68972,1.57,2.69,3.55,4.51,5.36,6.1,7.49,8.33,9.72,6.81,5.63,2.85,0,0.68972,1.49,2.64,3.88,5.8,8.51,9.07,9.97,10.89,11.73,12.85,13.41
Palats_Sportu,11.94,11.06,9.34,8.41,7.47,5.27,4.11,2.1,1.12,0.68972,0.94749,1.99,2.83,4.13,5.73,6.86,8.16,9.35,9.35,8.2,7.04,5.38,3.97,2.94,2.21,0.94749,0,0.95763,2.04,2.89,3.89,4.78,5.62,7.03,7.89,9.31,7.39,6.23,3.48,0.68972,0,0.92403,1.98,3.2,5.12,7.88,8.45,9.4,10.35,11.22,12.36,12.97
Klovska,12.9,11.97,10.28,9.34,8.39,6.2,5.03,3.01,2.05,1.49,1.33,1.28,2.01,3.34,4.98,6.12,7.42,8.62,9.82,8.7,7.56,5.97,4.57,3.43,2.53,1.33,0.92403,1.23,1.9,2.6,3.73,4.71,5.75,7.18,8.06,9.52,8.29,7.12,4.34,1.49,0.92403,0,1.21,2.48,4.41,7.03,7.57,8.49,9.43,10.29,11.44,12.05
